Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D18.0mm_P7.50mm,1,4700uF,DNF
C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,330nF,C307572
C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,100nF,C1945
"H2, H4",MountingHole_3.2mm_M3,2,M3,DNF
J1,Molex_Nano-Fit_105314-xx12_2x06_P2.50mm_Horizontal,1,IDC(>ENC),DNF
J2,JST_PHD_S8B-PHDSS_2x04_P2.00mm_Horizontal,1,JST-PHD(>SMCI12(X12)),DNF
J3,JST_PHD_S12B-PHDSS_2x06_P2.00mm_Horizontal,1,JST-PHD(>SMCI12(X11)),DNF
J4,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,1,PWR_SUPPLY,
"J5, J6",RJ45_OST_PJ012-8P8CX_Vertical,2,RJ45,
"R1, R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,120R,
U1,TO-220-3_Vertical,1,LM7805_TO220,
